
{'loss': 1.1433, 'learning_rate': 1.0000000000000002e-06, 'epoch': 0.0}
{'loss': 1.1509, 'learning_rate': 2.0000000000000003e-06, 'epoch': 0.01}
{'loss': 1.1637, 'learning_rate': 3e-06, 'epoch': 0.01}
{'loss': 1.1353, 'learning_rate': 4.000000000000001e-06, 'epoch': 0.02}
{'loss': 1.1448, 'learning_rate': 5e-06, 'epoch': 0.02}
{'loss': 1.1326, 'learning_rate': 6e-06, 'epoch': 0.02}
{'loss': 1.1448, 'learning_rate': 7.000000000000001e-06, 'epoch': 0.03}
{'loss': 1.1269, 'learning_rate': 8.000000000000001e-06, 'epoch': 0.03}
{'loss': 1.0783, 'learning_rate': 9e-06, 'epoch': 0.04}
{'loss': 1.0713, 'learning_rate': 1e-05, 'epoch': 0.04}
{'loss': 1.0546, 'learning_rate': 1.1000000000000001e-05, 'epoch': 0.04}
{'loss': 1.0466, 'learning_rate': 1.2e-05, 'epoch': 0.05}
{'loss': 1.0015, 'learning_rate': 1.3000000000000001e-05, 'epoch': 0.05}
{'loss': 0.9986, 'learning_rate': 1.4000000000000001e-05, 'epoch': 0.06}
{'loss': 0.965, 'learning_rate': 1.5e-05, 'epoch': 0.06}
{'loss': 0.9482, 'learning_rate': 1.6000000000000003e-05, 'epoch': 0.06}
{'loss': 0.8905, 'learning_rate': 1.7000000000000003e-05, 'epoch': 0.07}
{'loss': 0.8508, 'learning_rate': 1.8e-05, 'epoch': 0.07}
{'loss': 0.8259, 'learning_rate': 1.9e-05, 'epoch': 0.08}
{'loss': 0.782, 'learning_rate': 2e-05, 'epoch': 0.08}
{'loss': 0.7525, 'learning_rate': 2.1e-05, 'epoch': 0.08}
{'loss': 0.6997, 'learning_rate': 2.2000000000000003e-05, 'epoch': 0.09}
{'loss': 0.6464, 'learning_rate': 2.3000000000000003e-05, 'epoch': 0.09}
{'loss': 0.6206, 'learning_rate': 2.4e-05, 'epoch': 0.1}
{'loss': 0.5866, 'learning_rate': 2.5e-05, 'epoch': 0.1}
{'loss': 0.5707, 'learning_rate': 2.6000000000000002e-05, 'epoch': 0.1}
{'loss': 0.5566, 'learning_rate': 2.7000000000000002e-05, 'epoch': 0.11}
{'loss': 0.5183, 'learning_rate': 2.8000000000000003e-05, 'epoch': 0.11}
{'loss': 0.5049, 'learning_rate': 2.9e-05, 'epoch': 0.12}
{'loss': 0.496, 'learning_rate': 3e-05, 'epoch': 0.12}
{'loss': 0.4679, 'learning_rate': 3.1e-05, 'epoch': 0.12}
{'loss': 0.463, 'learning_rate': 3.2000000000000005e-05, 'epoch': 0.13}
{'loss': 0.4488, 'learning_rate': 3.3e-05, 'epoch': 0.13}
{'loss': 0.4232, 'learning_rate': 3.4000000000000007e-05, 'epoch': 0.14}
{'loss': 0.4205, 'learning_rate': 3.5e-05, 'epoch': 0.14}
{'loss': 0.4002, 'learning_rate': 3.6e-05, 'epoch': 0.14}
{'loss': 0.3928, 'learning_rate': 3.7e-05, 'epoch': 0.15}
{'loss': 0.3957, 'learning_rate': 3.8e-05, 'epoch': 0.15}
{'loss': 0.3817, 'learning_rate': 3.9000000000000006e-05, 'epoch': 0.16}
{'loss': 0.3787, 'learning_rate': 4e-05, 'epoch': 0.16}
{'loss': 0.3722, 'learning_rate': 4.1e-05, 'epoch': 0.16}
{'loss': 0.3664, 'learning_rate': 4.2e-05, 'epoch': 0.17}
{'loss': 0.358, 'learning_rate': 4.3e-05, 'epoch': 0.17}
{'loss': 0.3467, 'learning_rate': 4.4000000000000006e-05, 'epoch': 0.18}
{'loss': 0.3496, 'learning_rate': 4.5e-05, 'epoch': 0.18}
{'loss': 0.3509, 'learning_rate': 4.600000000000001e-05, 'epoch': 0.18}
{'loss': 0.3525, 'learning_rate': 4.7e-05, 'epoch': 0.19}
{'loss': 0.3401, 'learning_rate': 4.8e-05, 'epoch': 0.19}
{'loss': 0.3372, 'learning_rate': 4.9e-05, 'epoch': 0.2}
{'loss': 0.3352, 'learning_rate': 5e-05, 'epoch': 0.2}
The attention mask and the pad token id were not set. As a consequence, you may observe unexpected behavior. Please pass your input's `attention_mask` to obtain reliable results.
Setting `pad_token_id` to `eos_token_id`:50256 for open-end generation.
El número 123456789 en formato textual es: 123456789.sbm', 'C:\Users\bryce\AppData\Roaming\SpaceEngineers\Mods\312976851.sbm\Textures\GUI\Icons\Cubes\Small\Cubes.dds', 'C:\Users
{'loss': 1.1348, 'learning_rate': 5e-05, 'epoch': 0.0}
