huggingface/tokenizers: The current process just got forked, after parallelism has already been used. Disabling parallelism to avoid deadlocks...
To disable this warning, you can either:
	- Avoid using `tokenizers` before the fork if possible
	- Explicitly set the environment variable TOKENIZERS_PARALLELISM=(true | false)
{'loss': 1.1433, 'learning_rate': 1.0000000000000002e-06, 'epoch': 0.0}
{'loss': 1.1509, 'learning_rate': 2.0000000000000003e-06, 'epoch': 0.01}
{'loss': 1.1639, 'learning_rate': 3e-06, 'epoch': 0.01}
{'loss': 1.1357, 'learning_rate': 4.000000000000001e-06, 'epoch': 0.02}
{'loss': 1.1454, 'learning_rate': 5e-06, 'epoch': 0.02}
{'loss': 1.1335, 'learning_rate': 6e-06, 'epoch': 0.02}
{'loss': 1.1457, 'learning_rate': 7.000000000000001e-06, 'epoch': 0.03}
{'loss': 1.1277, 'learning_rate': 8.000000000000001e-06, 'epoch': 0.03}
{'loss': 1.0792, 'learning_rate': 9e-06, 'epoch': 0.04}
{'loss': 1.0715, 'learning_rate': 1e-05, 'epoch': 0.04}
{'loss': 1.0549, 'learning_rate': 1.1000000000000001e-05, 'epoch': 0.04}
{'loss': 1.0463, 'learning_rate': 1.2e-05, 'epoch': 0.05}
{'loss': 1.0006, 'learning_rate': 1.3000000000000001e-05, 'epoch': 0.05}
{'loss': 0.9974, 'learning_rate': 1.4000000000000001e-05, 'epoch': 0.06}
{'loss': 0.9634, 'learning_rate': 1.5e-05, 'epoch': 0.06}
{'loss': 0.946, 'learning_rate': 1.6000000000000003e-05, 'epoch': 0.06}
{'loss': 0.8881, 'learning_rate': 1.7000000000000003e-05, 'epoch': 0.07}
{'loss': 0.8477, 'learning_rate': 1.8e-05, 'epoch': 0.07}
{'loss': 0.8224, 'learning_rate': 1.9e-05, 'epoch': 0.08}
{'loss': 0.7785, 'learning_rate': 2e-05, 'epoch': 0.08}
{'loss': 0.7494, 'learning_rate': 2.1e-05, 'epoch': 0.08}
