huggingface/tokenizers: The current process just got forked, after parallelism has already been used. Disabling parallelism to avoid deadlocks...
To disable this warning, you can either:
	- Avoid using `tokenizers` before the fork if possible
	- Explicitly set the environment variable TOKENIZERS_PARALLELISM=(true | false)
{'loss': 0.8269, 'learning_rate': 1.0000000000000002e-06, 'epoch': 0.0}
{'loss': 0.8391, 'learning_rate': 2.0000000000000003e-06, 'epoch': 0.01}
{'loss': 0.8502, 'learning_rate': 3e-06, 'epoch': 0.01}
{'loss': 0.8241, 'learning_rate': 4.000000000000001e-06, 'epoch': 0.02}
{'loss': 0.8395, 'learning_rate': 5e-06, 'epoch': 0.02}
{'loss': 0.826, 'learning_rate': 6e-06, 'epoch': 0.02}
{'loss': 0.847, 'learning_rate': 7.000000000000001e-06, 'epoch': 0.03}
{'loss': 0.838, 'learning_rate': 8.000000000000001e-06, 'epoch': 0.03}
{'loss': 0.7918, 'learning_rate': 9e-06, 'epoch': 0.04}
{'loss': 0.7967, 'learning_rate': 1e-05, 'epoch': 0.04}
{'loss': 0.7869, 'learning_rate': 1.1000000000000001e-05, 'epoch': 0.04}
{'loss': 0.7805, 'learning_rate': 1.2e-05, 'epoch': 0.05}
{'loss': 0.746, 'learning_rate': 1.3000000000000001e-05, 'epoch': 0.05}
{'loss': 0.7484, 'learning_rate': 1.4000000000000001e-05, 'epoch': 0.06}
{'loss': 0.7184, 'learning_rate': 1.5e-05, 'epoch': 0.06}
{'loss': 0.7154, 'learning_rate': 1.6000000000000003e-05, 'epoch': 0.06}
{'loss': 0.6755, 'learning_rate': 1.7000000000000003e-05, 'epoch': 0.07}
{'loss': 0.6441, 'learning_rate': 1.8e-05, 'epoch': 0.07}
{'loss': 0.6352, 'learning_rate': 1.9e-05, 'epoch': 0.08}
{'loss': 0.6028, 'learning_rate': 2e-05, 'epoch': 0.08}
{'loss': 0.5904, 'learning_rate': 2.1e-05, 'epoch': 0.08}
{'loss': 0.5499, 'learning_rate': 2.2000000000000003e-05, 'epoch': 0.09}
{'loss': 0.508, 'learning_rate': 2.3000000000000003e-05, 'epoch': 0.09}
{'loss': 0.4881, 'learning_rate': 2.4e-05, 'epoch': 0.1}
{'loss': 0.4661, 'learning_rate': 2.5e-05, 'epoch': 0.1}
{'loss': 0.4579, 'learning_rate': 2.6000000000000002e-05, 'epoch': 0.1}
{'loss': 0.4531, 'learning_rate': 2.7000000000000002e-05, 'epoch': 0.11}
{'loss': 0.4252, 'learning_rate': 2.8000000000000003e-05, 'epoch': 0.11}
{'loss': 0.4193, 'learning_rate': 2.9e-05, 'epoch': 0.12}
{'loss': 0.4154, 'learning_rate': 3e-05, 'epoch': 0.12}
{'loss': 0.3949, 'learning_rate': 3.1e-05, 'epoch': 0.12}
{'loss': 0.3894, 'learning_rate': 3.2000000000000005e-05, 'epoch': 0.13}
{'loss': 0.3771, 'learning_rate': 3.3e-05, 'epoch': 0.13}
{'loss': 0.359, 'learning_rate': 3.4000000000000007e-05, 'epoch': 0.14}
{'loss': 0.3644, 'learning_rate': 3.5e-05, 'epoch': 0.14}
{'loss': 0.3487, 'learning_rate': 3.6e-05, 'epoch': 0.14}
{'loss': 0.3389, 'learning_rate': 3.7e-05, 'epoch': 0.15}
{'loss': 0.3498, 'learning_rate': 3.8e-05, 'epoch': 0.15}
{'loss': 0.3386, 'learning_rate': 3.9000000000000006e-05, 'epoch': 0.16}
{'loss': 0.3371, 'learning_rate': 4e-05, 'epoch': 0.16}
{'loss': 0.3324, 'learning_rate': 4.1e-05, 'epoch': 0.16}
{'loss': 0.3336, 'learning_rate': 4.2e-05, 'epoch': 0.17}
{'loss': 0.3269, 'learning_rate': 4.3e-05, 'epoch': 0.17}
{'loss': 0.3154, 'learning_rate': 4.4000000000000006e-05, 'epoch': 0.18}
{'loss': 0.3205, 'learning_rate': 4.5e-05, 'epoch': 0.18}
{'loss': 0.3208, 'learning_rate': 4.600000000000001e-05, 'epoch': 0.18}
{'loss': 0.3207, 'learning_rate': 4.7e-05, 'epoch': 0.19}
{'loss': 0.3102, 'learning_rate': 4.8e-05, 'epoch': 0.19}
{'loss': 0.308, 'learning_rate': 4.9e-05, 'epoch': 0.2}
{'loss': 0.3147, 'learning_rate': 5e-05, 'epoch': 0.2}
{'loss': 0.312, 'learning_rate': 4.975012493753124e-05, 'epoch': 0.2}
{'loss': 0.314, 'learning_rate': 4.950024987506247e-05, 'epoch': 0.21}
{'loss': 0.3129, 'learning_rate': 4.9250374812593707e-05, 'epoch': 0.21}
{'loss': 0.3091, 'learning_rate': 4.900049975012494e-05, 'epoch': 0.22}
{'loss': 0.3107, 'learning_rate': 4.8750624687656176e-05, 'epoch': 0.22}
{'loss': 0.3084, 'learning_rate': 4.850074962518741e-05, 'epoch': 0.22}
{'loss': 0.2979, 'learning_rate': 4.8250874562718645e-05, 'epoch': 0.23}
{'loss': 0.2938, 'learning_rate': 4.800099950024988e-05, 'epoch': 0.23}
{'loss': 0.2941, 'learning_rate': 4.7751124437781115e-05, 'epoch': 0.24}
{'loss': 0.3007, 'learning_rate': 4.750124937531234e-05, 'epoch': 0.24}
{'loss': 0.2897, 'learning_rate': 4.7251374312843584e-05, 'epoch': 0.24}
{'loss': 0.2962, 'learning_rate': 4.700149925037481e-05, 'epoch': 0.25}
{'loss': 0.2855, 'learning_rate': 4.6751624187906054e-05, 'epoch': 0.25}
{'loss': 0.2963, 'learning_rate': 4.650174912543728e-05, 'epoch': 0.26}
{'loss': 0.2893, 'learning_rate': 4.625187406296852e-05, 'epoch': 0.26}
{'loss': 0.2977, 'learning_rate': 4.600199900049975e-05, 'epoch': 0.26}
{'loss': 0.2884, 'learning_rate': 4.5752123938030986e-05, 'epoch': 0.27}
{'loss': 0.3027, 'learning_rate': 4.550224887556222e-05, 'epoch': 0.27}
{'loss': 0.2853, 'learning_rate': 4.5252373813093455e-05, 'epoch': 0.28}
{'loss': 0.2988, 'learning_rate': 4.500249875062469e-05, 'epoch': 0.28}
{'loss': 0.2898, 'learning_rate': 4.4752623688155925e-05, 'epoch': 0.28}
{'loss': 0.2886, 'learning_rate': 4.450274862568716e-05, 'epoch': 0.29}
{'loss': 0.2847, 'learning_rate': 4.4252873563218394e-05, 'epoch': 0.29}
{'loss': 0.2935, 'learning_rate': 4.400299850074963e-05, 'epoch': 0.3}
{'loss': 0.2851, 'learning_rate': 4.3753123438280864e-05, 'epoch': 0.3}
{'loss': 0.2904, 'learning_rate': 4.350324837581209e-05, 'epoch': 0.3}
{'loss': 0.2776, 'learning_rate': 4.325337331334333e-05, 'epoch': 0.31}
{'loss': 0.2892, 'learning_rate': 4.300349825087456e-05, 'epoch': 0.31}
{'loss': 0.2871, 'learning_rate': 4.27536231884058e-05, 'epoch': 0.32}
{'loss': 0.2794, 'learning_rate': 4.250374812593703e-05, 'epoch': 0.32}
{'loss': 0.2836, 'learning_rate': 4.225387306346827e-05, 'epoch': 0.32}
{'loss': 0.2876, 'learning_rate': 4.20039980009995e-05, 'epoch': 0.33}
{'loss': 0.2914, 'learning_rate': 4.1754122938530734e-05, 'epoch': 0.33}
{'loss': 0.2876, 'learning_rate': 4.150424787606197e-05, 'epoch': 0.34}
