huggingface/tokenizers: The current process just got forked, after parallelism has already been used. Disabling parallelism to avoid deadlocks...
To disable this warning, you can either:
	- Avoid using `tokenizers` before the fork if possible
	- Explicitly set the environment variable TOKENIZERS_PARALLELISM=(true | false)
{'loss': 12.5426, 'learning_rate': 1.0000000000000002e-06, 'epoch': 0.0}
{'loss': 12.5393, 'learning_rate': 2.0000000000000003e-06, 'epoch': 0.01}
{'loss': 12.4249, 'learning_rate': 3e-06, 'epoch': 0.01}
{'loss': 12.4149, 'learning_rate': 4.000000000000001e-06, 'epoch': 0.02}
{'loss': 12.374, 'learning_rate': 5e-06, 'epoch': 0.02}
{'loss': 12.1925, 'learning_rate': 6e-06, 'epoch': 0.02}
{'loss': 11.9825, 'learning_rate': 7.000000000000001e-06, 'epoch': 0.03}
{'loss': 11.7267, 'learning_rate': 8.000000000000001e-06, 'epoch': 0.03}
{'loss': 11.3445, 'learning_rate': 9e-06, 'epoch': 0.04}
{'loss': 10.8153, 'learning_rate': 1e-05, 'epoch': 0.04}
{'loss': 9.8913, 'learning_rate': 1.1000000000000001e-05, 'epoch': 0.04}
{'loss': 8.6783, 'learning_rate': 1.2e-05, 'epoch': 0.05}
{'loss': 7.1401, 'learning_rate': 1.3000000000000001e-05, 'epoch': 0.05}
{'loss': 5.7939, 'learning_rate': 1.4000000000000001e-05, 'epoch': 0.06}
{'loss': 4.419, 'learning_rate': 1.5e-05, 'epoch': 0.06}
{'loss': 2.9583, 'learning_rate': 1.6000000000000003e-05, 'epoch': 0.06}
{'loss': 2.0212, 'learning_rate': 1.7000000000000003e-05, 'epoch': 0.07}
{'loss': 1.5076, 'learning_rate': 1.8e-05, 'epoch': 0.07}
{'loss': 1.2683, 'learning_rate': 1.9e-05, 'epoch': 0.08}
{'loss': 1.0716, 'learning_rate': 2e-05, 'epoch': 0.08}
{'loss': 0.9665, 'learning_rate': 2.1e-05, 'epoch': 0.08}
{'loss': 0.8988, 'learning_rate': 2.2000000000000003e-05, 'epoch': 0.09}
{'loss': 0.8354, 'learning_rate': 2.3000000000000003e-05, 'epoch': 0.09}
{'loss': 0.8075, 'learning_rate': 2.4e-05, 'epoch': 0.1}
{'loss': 0.7667, 'learning_rate': 2.5e-05, 'epoch': 0.1}
{'loss': 0.7492, 'learning_rate': 2.6000000000000002e-05, 'epoch': 0.1}
{'loss': 0.726, 'learning_rate': 2.7000000000000002e-05, 'epoch': 0.11}
{'loss': 0.6774, 'learning_rate': 2.8000000000000003e-05, 'epoch': 0.11}
{'loss': 0.6599, 'learning_rate': 2.9e-05, 'epoch': 0.12}
{'loss': 0.6379, 'learning_rate': 3e-05, 'epoch': 0.12}
{'loss': 0.5961, 'learning_rate': 3.1e-05, 'epoch': 0.12}
{'loss': 0.5823, 'learning_rate': 3.2000000000000005e-05, 'epoch': 0.13}
{'loss': 0.5521, 'learning_rate': 3.3e-05, 'epoch': 0.13}
{'loss': 0.5042, 'learning_rate': 3.4000000000000007e-05, 'epoch': 0.14}
{'loss': 0.5018, 'learning_rate': 3.5e-05, 'epoch': 0.14}
