huggingface/tokenizers: The current process just got forked, after parallelism has already been used. Disabling parallelism to avoid deadlocks...
To disable this warning, you can either:
	- Avoid using `tokenizers` before the fork if possible
	- Explicitly set the environment variable TOKENIZERS_PARALLELISM=(true | false)
{'loss': 12.5621, 'learning_rate': 1.0000000000000002e-06, 'epoch': 0.0}
{'loss': 12.532, 'learning_rate': 2.0000000000000003e-06, 'epoch': 0.01}
{'loss': 12.494, 'learning_rate': 3e-06, 'epoch': 0.01}
{'loss': 12.434, 'learning_rate': 4.000000000000001e-06, 'epoch': 0.02}
{'loss': 12.3959, 'learning_rate': 5e-06, 'epoch': 0.02}
{'loss': 12.2208, 'learning_rate': 6e-06, 'epoch': 0.02}
{'loss': 12.0261, 'learning_rate': 7.000000000000001e-06, 'epoch': 0.03}
{'loss': 11.7139, 'learning_rate': 8.000000000000001e-06, 'epoch': 0.03}
{'loss': 11.2695, 'learning_rate': 9e-06, 'epoch': 0.04}
{'loss': 10.8182, 'learning_rate': 1e-05, 'epoch': 0.04}
{'loss': 9.8953, 'learning_rate': 1.1000000000000001e-05, 'epoch': 0.04}
{'loss': 8.7168, 'learning_rate': 1.2e-05, 'epoch': 0.05}
{'loss': 7.2017, 'learning_rate': 1.3000000000000001e-05, 'epoch': 0.05}
{'loss': 5.7925, 'learning_rate': 1.4000000000000001e-05, 'epoch': 0.06}
{'loss': 4.4684, 'learning_rate': 1.5e-05, 'epoch': 0.06}
{'loss': 3.0273, 'learning_rate': 1.6000000000000003e-05, 'epoch': 0.06}
{'loss': 2.0733, 'learning_rate': 1.7000000000000003e-05, 'epoch': 0.07}
{'loss': 1.5537, 'learning_rate': 1.8e-05, 'epoch': 0.07}
{'loss': 1.2412, 'learning_rate': 1.9e-05, 'epoch': 0.08}
{'loss': 1.0961, 'learning_rate': 2e-05, 'epoch': 0.08}
{'loss': 0.9341, 'learning_rate': 2.1e-05, 'epoch': 0.08}
{'loss': 0.9155, 'learning_rate': 2.2000000000000003e-05, 'epoch': 0.09}
{'loss': 0.867, 'learning_rate': 2.3000000000000003e-05, 'epoch': 0.09}
{'loss': 0.809, 'learning_rate': 2.4e-05, 'epoch': 0.1}
{'loss': 0.7975, 'learning_rate': 2.5e-05, 'epoch': 0.1}
{'loss': 0.736, 'learning_rate': 2.6000000000000002e-05, 'epoch': 0.1}
{'loss': 0.7118, 'learning_rate': 2.7000000000000002e-05, 'epoch': 0.11}
{'loss': 0.6709, 'learning_rate': 2.8000000000000003e-05, 'epoch': 0.11}
{'loss': 0.6311, 'learning_rate': 2.9e-05, 'epoch': 0.12}
{'loss': 0.6243, 'learning_rate': 3e-05, 'epoch': 0.12}
{'loss': 0.6084, 'learning_rate': 3.1e-05, 'epoch': 0.12}
{'loss': 0.5831, 'learning_rate': 3.2000000000000005e-05, 'epoch': 0.13}
{'loss': 0.5522, 'learning_rate': 3.3e-05, 'epoch': 0.13}
{'loss': 0.5184, 'learning_rate': 3.4000000000000007e-05, 'epoch': 0.14}
{'loss': 0.5017, 'learning_rate': 3.5e-05, 'epoch': 0.14}
{'loss': 0.4894, 'learning_rate': 3.6e-05, 'epoch': 0.14}
{'loss': 0.4685, 'learning_rate': 3.7e-05, 'epoch': 0.15}
{'loss': 0.455, 'learning_rate': 3.8e-05, 'epoch': 0.15}
{'loss': 0.4382, 'learning_rate': 3.9000000000000006e-05, 'epoch': 0.16}
{'loss': 0.4319, 'learning_rate': 4e-05, 'epoch': 0.16}
{'loss': 0.4238, 'learning_rate': 4.1e-05, 'epoch': 0.16}
{'loss': 0.4093, 'learning_rate': 4.2e-05, 'epoch': 0.17}
{'loss': 0.3965, 'learning_rate': 4.3e-05, 'epoch': 0.17}
{'loss': 0.3974, 'learning_rate': 4.4000000000000006e-05, 'epoch': 0.18}
{'loss': 0.3882, 'learning_rate': 4.5e-05, 'epoch': 0.18}
{'loss': 0.3838, 'learning_rate': 4.600000000000001e-05, 'epoch': 0.18}
{'loss': 0.3694, 'learning_rate': 4.7e-05, 'epoch': 0.19}
{'loss': 0.3723, 'learning_rate': 4.8e-05, 'epoch': 0.19}
{'loss': 0.3607, 'learning_rate': 4.9e-05, 'epoch': 0.2}
{'loss': 0.3633, 'learning_rate': 5e-05, 'epoch': 0.2}
{'loss': 0.3543, 'learning_rate': 4.975e-05, 'epoch': 0.2}
{'loss': 0.3595, 'learning_rate': 4.9500000000000004e-05, 'epoch': 0.21}
{'loss': 0.354, 'learning_rate': 4.9250000000000004e-05, 'epoch': 0.21}
{'loss': 0.349, 'learning_rate': 4.9e-05, 'epoch': 0.22}
{'loss': 0.347, 'learning_rate': 4.875e-05, 'epoch': 0.22}
{'loss': 0.3507, 'learning_rate': 4.85e-05, 'epoch': 0.22}
{'loss': 0.3518, 'learning_rate': 4.825e-05, 'epoch': 0.23}
{'loss': 0.3317, 'learning_rate': 4.8e-05, 'epoch': 0.23}
{'loss': 0.3406, 'learning_rate': 4.775e-05, 'epoch': 0.24}
{'loss': 0.3395, 'learning_rate': 4.75e-05, 'epoch': 0.24}
{'loss': 0.3406, 'learning_rate': 4.7249999999999997e-05, 'epoch': 0.24}
{'loss': 0.3385, 'learning_rate': 4.7e-05, 'epoch': 0.25}
{'loss': 0.3352, 'learning_rate': 4.6750000000000005e-05, 'epoch': 0.25}
{'loss': 0.3399, 'learning_rate': 4.6500000000000005e-05, 'epoch': 0.26}
{'loss': 0.345, 'learning_rate': 4.6250000000000006e-05, 'epoch': 0.26}
{'loss': 0.3336, 'learning_rate': 4.600000000000001e-05, 'epoch': 0.26}
{'loss': 0.3277, 'learning_rate': 4.575e-05, 'epoch': 0.27}
{'loss': 0.331, 'learning_rate': 4.55e-05, 'epoch': 0.27}
{'loss': 0.326, 'learning_rate': 4.525e-05, 'epoch': 0.28}
{'loss': 0.3193, 'learning_rate': 4.5e-05, 'epoch': 0.28}
{'loss': 0.3308, 'learning_rate': 4.4750000000000004e-05, 'epoch': 0.28}
{'loss': 0.3193, 'learning_rate': 4.4500000000000004e-05, 'epoch': 0.29}
{'loss': 0.322, 'learning_rate': 4.4250000000000005e-05, 'epoch': 0.29}
{'loss': 0.3219, 'learning_rate': 4.4000000000000006e-05, 'epoch': 0.3}
{'loss': 0.3178, 'learning_rate': 4.375e-05, 'epoch': 0.3}
{'loss': 0.321, 'learning_rate': 4.35e-05, 'epoch': 0.3}
{'loss': 0.3181, 'learning_rate': 4.325e-05, 'epoch': 0.31}
{'loss': 0.3286, 'learning_rate': 4.3e-05, 'epoch': 0.31}
{'loss': 0.31, 'learning_rate': 4.275e-05, 'epoch': 0.32}
{'loss': 0.3148, 'learning_rate': 4.25e-05, 'epoch': 0.32}
{'loss': 0.3323, 'learning_rate': 4.2250000000000004e-05, 'epoch': 0.32}
{'loss': 0.3071, 'learning_rate': 4.2e-05, 'epoch': 0.33}
{'loss': 0.3131, 'learning_rate': 4.175e-05, 'epoch': 0.33}
