radius (m),mass (kg),gravity,atmosphere,oxygene,avg_temp (C),water,rotational_period (h),life
11473000.0,3.478097483444289e+25,1.8,YES,YES,35.8,YES,50.5,NO
10440000.0,2.6204654520901243e+25,1.64,NO,NO,34.5,NO,30.5,NO
12520000.0,4.5187919586239805e+25,1.96,YES,YES,42.1,YES,12.3,YES
11727000.0,3.714528056272622e+25,1.84,YES,YES,39.0,NO,24.5,NO
7285000.0,8.903243183302357e+24,1.14,NO,NO,9.3,NO,32.7,NO
8672000.0,1.5014685031690908e+25,1.36,NO,NO,66.0,NO,30.0,NO
9057000.0,1.7114399687735748e+25,1.42,NO,NO,60.2,NO,39.6,NO
6169000.0,5.406726709209711e+24,0.97,YES,YES,23.6,NO,29.4,NO
10922000.0,3.0003385184151425e+25,1.71,YES,YES,71.7,NO,13.5,NO
6641000.0,6.743393843007187e+24,1.04,NO,NO,72.3,NO,33.6,NO
10827000.0,2.923654219800364e+25,1.7,YES,YES,54.4,NO,26.4,YES
6207000.0,5.506100022464126e+24,0.97,NO,NO,116.4,NO,59.8,NO
11935000.0,3.9141971099048865e+25,1.87,NO,NO,70.9,NO,38.6,NO
6789000.0,7.207709242140409e+24,1.06,NO,NO,38.7,NO,42.6,NO
8104000.0,1.225446487134303e+25,1.27,NO,NO,14.7,NO,28.0,NO
7618000.0,1.0180307875398976e+25,1.19,NO,NO,74.7,NO,57.2,NO
5734000.0,4.3420691456405407e+24,0.9,YES,YES,41.7,YES,57.0,YES
7273000.0,8.859282382282318e+24,1.14,NO,NO,33.5,NO,25.6,NO
3951000.0,1.4199939964672916e+24,0.62,NO,NO,48.3,NO,42.7,NO
9688000.0,2.0937260611516007e+25,1.52,NO,NO,37.6,NO,39.3,NO
3730000.0,1.1949985056495481e+24,0.58,NO,NO,55.8,NO,29.8,NO
11534000.0,3.5332866803374513e+25,1.81,YES,YES,23.2,NO,14.7,NO
9832000.0,2.188918272499016e+25,1.54,NO,NO,102.8,NO,32.5,NO
11559000.0,3.554905935303972e+25,1.81,YES,YES,6.2,YES,24.8,YES
9584000.0,2.0273062971892196e+25,1.5,NO,NO,25.4,NO,39.9,NO
12932000.0,4.980602917304645e+25,2.03,YES,YES,16.1,YES,22.2,YES
13632000.0,5.832038075523879e+25,2.13,NO,NO,39.9,NO,46.1,NO
7413000.0,9.379623805299915e+24,1.16,YES,YES,50.5,YES,41.9,NO
7031000.0,8.004821568527645e+24,1.1,NO,NO,42.5,NO,19.2,NO
8395000.0,1.362647042177498e+25,1.32,YES,YES,72.2,NO,32.6,NO
6898000.0,7.555179937034037e+24,1.08,NO,NO,74.9,NO,19.7,NO
11061000.0,3.117086800561022e+25,1.73,NO,NO,95.7,NO,31.7,NO
8922000.0,1.6353546567587219e+25,1.4,NO,NO,18.5,NO,34.6,NO
6511000.0,6.355232352981362e+24,1.02,NO,NO,45.4,NO,32.6,NO
9890000.0,2.2272587111934836e+25,1.55,NO,NO,1.9,NO,24.6,NO
8062000.0,1.2063953209924118e+25,1.26,YES,YES,11.3,NO,27.7,NO
7166000.0,8.476497367574421e+24,1.12,YES,YES,24.7,NO,30.9,NO
6535000.0,6.429196581942533e+24,1.02,NO,NO,73.2,NO,31.5,NO
11691000.0,3.6790095801190506e+25,1.83,NO,NO,44.1,NO,29.0,NO
9408000.0,1.918225034497903e+25,1.47,YES,YES,27.2,NO,57.2,NO
8224000.0,1.2808113380177978e+25,1.29,NO,NO,33.0,NO,21.5,NO
12332000.0,4.318697083902315e+25,1.93,NO,NO,29.5,NO,34.1,NO
8435000.0,1.381669916685115e+25,1.32,NO,NO,2.8,NO,18.4,NO
8876000.0,1.6104986448395442e+25,1.39,YES,YES,-39.1,NO,33.5,NO
6046000.0,5.090789351367358e+24,0.95,NO,NO,48.8,NO,39.0,NO
4943000.0,2.7802895307173667e+24,0.77,NO,NO,32.2,NO,13.5,NO
9583000.0,2.02758638548908e+25,1.5,NO,NO,0.9,NO,20.8,NO
9802000.0,2.1685176261734087e+25,1.54,NO,NO,72.9,NO,33.2,NO
7721000.0,1.0599961750024635e+25,1.21,NO,NO,64.8,NO,19.6,NO
13343000.0,5.471235522871102e+25,2.09,YES,YES,43.1,NO,31.2,NO
8411000.0,1.3706042389556158e+25,1.32,YES,YES,10.8,NO,29.2,NO
13554000.0,5.735155033552579e+25,2.12,NO,NO,34.5,NO,28.5,NO
9232000.0,1.8119944083508906e+25,1.45,YES,YES,45.3,NO,22.7,NO
